YearBuilt,YearBuilt_var
1880,15753125000.0
1882,
1890,598580000.0
1892,
1893,
1898,
1900,792482835.1999998
1904,
1905,
1906,
1908,6384500000.0
1910,365802116.5714285
1912,
1913,
1914,2993959423.0
1915,550513750.0
1916,384532000.0
1917,
1918,2980150833.333334
1919,
1920,2242513104.5751634
1921,762160133.3333334
1922,1398675000.0
1923,2902229166.6666665
1924,40083333.33333333
1925,1707522472.2222223
1926,5072606666.666667
1927,788083333.3333334
1928,1412254999.9999998
1929,72000000.0
1930,1239033000.0
1931,486803333.33333325
1932,
1934,2752820000.0
1935,6137333333.333334
1936,584500000.0
1937,1882866780.3333333
1938,260675625.0
1939,236457000.00000006
1940,1106218181.8181815
1941,3584347222.222223
1942,
1945,6078583333.333334
1946,55083333.33333334
1947,685583333.3333333
1948,1564962142.857143
1949,82602000.0
1950,1147793560.606061
1951,10013333.333333308
1952,2073453678.9166667
1953,1987559523.8095236
1954,1023174705.882353
1955,411518113.8392857
1956,1428268095.2380953
1957,1848170043.9999995
1958,575665958.3333334
1959,3163535955.8823524
1960,198835500.00000003
1961,379326741.0714286
1962,328910714.28571427
1963,481280000.0000002
1964,519815714.2857143
1965,4028924125.205882
1966,508989444.4444445
1967,3028300000.0
1968,1245516025.6410258
1969,628716534.0000001
1970,989463636.3636364
1971,704234545.4545456
1972,3410782452.3809524
1973,2683922678.571429
1974,1039726190.4761904
1975,7799083333.333334
1976,1298502857.142857
1977,1018333823.5294113
1978,602341666.6666666
1979,
1980,999441666.6666666
1981,10974250000.0
1982,19083333.333333332
1983,16671380000.0
1984,1226229166.6666667
1985,
1986,3674333333.3333335
1987,
1988,1057062500.0000001
1989,5671125000.0
1990,1655107199.9999998
1991,242000000.0
1992,562649666.6666667
1993,3440100000.0
1994,6524483974.3589735
1995,17638099358.974358
1996,29686441000.0
1997,2684968194.444444
1998,2915005476.1904764
1999,3278433745.529412
2000,1445100000.0
2001,1179505714.2857141
2002,773776181.8181818
2003,5245932005.958621
2004,4305145737.473286
2005,5249276111.469388
2006,5705236946.375886
2007,5600618123.758178
2008,13940030045.766083
2009,7726654540.163635
2010,
