LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,WoodDeckSF,OpenPorchSF,SalePrice,MSSubClass_mean,MSSubClass_var,MSZoning_mean,MSZoning_var,LotFrontage_mean,LotFrontage_var,Street_mean,Street_var,LotShape_mean,LotShape_var,LandContour_mean,LandContour_var,Utilities_mean,Utilities_var,LotConfig_mean,LotConfig_var,LandSlope_mean,LandSlope_var,Neighborhood_mean,Neighborhood_var,Condition1_mean,Condition1_var,Condition2_mean,Condition2_var,BldgType_mean,BldgType_var,HouseStyle_mean,HouseStyle_var,OverallQual_mean,OverallQual_var,OverallCond_mean,OverallCond_var,YearBuilt_mean,YearBuilt_var,YearRemodAdd_mean,YearRemodAdd_var,RoofStyle_mean,RoofStyle_var,RoofMatl_mean,RoofMatl_var,Exterior1st_mean,Exterior1st_var,Exterior2nd_mean,Exterior2nd_var,MasVnrType_mean,MasVnrType_var,ExterQual_mean,ExterQual_var,ExterCond_mean,ExterCond_var,Foundation_mean,Foundation_var,BsmtQual_mean,BsmtQual_var,BsmtCond_mean,BsmtCond_var,BsmtExposure_mean,BsmtExposure_var,BsmtFinType1_mean,BsmtFinType1_var,BsmtFinType2_mean,BsmtFinType2_var,Heating_mean,Heating_var,HeatingQC_mean,HeatingQC_var,CentralAir_mean,CentralAir_var,Electrical_mean,Electrical_var,LowQualFinSF_mean,LowQualFinSF_var,BsmtFullBath_mean,BsmtFullBath_var,BsmtHalfBath_mean,BsmtHalfBath_var,FullBath_mean,FullBath_var,HalfBath_mean,HalfBath_var,BedroomAbvGr_mean,BedroomAbvGr_var,KitchenAbvGr_mean,KitchenAbvGr_var,KitchenQual_mean,KitchenQual_var,Functional_mean,Functional_var,Fireplaces_mean,Fireplaces_var,GarageType_mean,GarageType_var,GarageFinish_mean,GarageFinish_var,GarageCars_mean,GarageCars_var,GarageQual_mean,GarageQual_var,GarageCond_mean,GarageCond_var,PavedDrive_mean,PavedDrive_var,EnclosedPorch_mean,EnclosedPorch_var,3SsnPorch_mean,3SsnPorch_var,ScreenPorch_mean,ScreenPorch_var,PoolArea_mean,PoolArea_var,MiscVal_mean,MiscVal_var,MoSold_mean,MoSold_var,YrSold_mean,YrSold_var,SaleType_mean,SaleType_var,SaleCondition_mean,SaleCondition_var
9591,262.0,1088,0,625,1713,0,1713,0,26,274900,190841.7104477612,5919823836.409917,197466.29558823528,6700182253.4014635,206987.5,3839486964.285714,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,182400.4694485842,5700732293.771826,185992.28605200947,6356756315.132279,313478.93846153846,8575142628.121154,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,190353.8509485095,6912694437.011682,184092.50343249427,5797352117.090013,276597.30188679247,3604650259.1270432,211338.3820662768,7663092567.86937,223617.54761904763,4305145737.473286,215870.58620689655,4653668379.264369,228070.6978021978,13018755540.620874,185957.39976958526,6404563870.846928,220277.8620689655,6204324332.148071,220600.2815249267,6210689812.291099,207663.49049429657,6599908689.372999,234021.37931034484,5389921061.588377,189738.75064267352,6536647274.354727,229498.03755868544,7315582050.087997,323425.28571428574,11251141849.295238,187406.3227383863,6430309696.60563,220048.45890410958,8711847348.884506,245039.69731800767,8236517404.234954,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,218682.6844262295,7347810786.064484,190274.04081632654,6390852326.618526,191735.0725707257,6453463664.5747795,187188.88106235565,6440947385.762713,210460.82816901407,8602903334.238758,187859.38647342994,6618492131.80209,219599.1268498943,5196662792.780486,170196.62661737524,4786603100.764031,185489.47928994082,4558742501.356782,188023.44352941177,6510980811.359,325830.61842105264,10459583121.065786,188891.71480582524,6598366322.952592,218087.74441687344,6947707343.1608925,206394.6709323583,6096433706.180898,248091.91363636364,9599122000.97425,307493.64122137404,9886388633.077976,189382.6352657005,6434519770.868017,189306.68883610453,6436003673.717559,190190.40266021766,6478036614.853413,193153.64285714287,6542616080.60341,185881.6581986143,6366028023.4946,414950.0,39228005000.0,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,191631.29032258064,11813325919.946232,189894.0918367347,7779019184.247931,177757.84253028265,5107372118.318838,179201.3704225352,4802790806.828741
10800,0.0,0,0,482,482,691,1912,0,25,163000,125486.66666666667,553922666.6666666,130457.5,2055438587.1007195,130785.01,1621616114.5554545,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,182400.4694485842,5700732293.771826,185992.28605200947,6356756315.132279,130283.50649350649,1744608393.884826,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,123456.25,582955958.3333333,143078.8735632184,2429212750.483826,159022.63942307694,1150384059.758245,156110.5,2441108158.6486483,163000.0,0.0,174367.9655172414,3031386617.17734,175533.21994134897,4154229829.8105855,185957.39976958526,6404563870.846928,152019.4144144144,6098387350.953973,148311.7289719626,3155025780.4069843,160849.90802348335,3706008740.938583,145118.0,1563140559.6511629,189738.75064267352,6536647274.354727,136776.7340425532,2280046311.315603,117256.84,1109340798.8066664,187406.3227383863,6430309696.60563,168487.27504244482,3771677196.7269444,175349.72222222222,5579297918.61772,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,218682.6844262295,7347810786.064484,114761.04444444444,1328143297.179798,191735.0725707257,6453463664.5747795,187188.88106235565,6440947385.762713,169007.4571984436,4107711084.5527453,187859.38647342994,6618492131.80209,219599.1268498943,5196662792.780486,170196.62661737524,4786603100.764031,185489.47928994082,4558742501.356782,138392.44444444444,781572111.8717948,140125.27710843374,1245946545.9495964,188891.71480582524,6598366322.952592,218087.74441687344,6947707343.1608925,133179.1893939394,1288913923.2263513,138058.6328125,1460546227.3609045,182776.13147410357,2739573862.2740984,199758.0,6088621084.444445,189306.68883610453,6436003673.717559,190190.40266021766,6478036614.853413,163000.0,0.0,185881.6581986143,6366028023.4946,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,187173.35294117648,7463068110.207286,184651.63020833334,5057957833.22903,177757.84253028265,5107372118.318838,179201.3704225352,4802790806.828741
6120,0.0,0,0,939,939,574,1513,24,0,137500,163746.65,2170495896.438461,130457.5,2055438587.1007195,129535.0,553872250.0,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,182400.4694485842,5700732293.771826,185992.28605200947,6356756315.132279,132080.46875,1148604303.8054433,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,190353.8509485095,6912694437.011682,213341.54480286737,8140910176.889174,132432.0,700938429.7740585,158598.5294117647,2915919260.294119,122861.11111111111,2242513104.5751634,204413.9534883721,5063682657.807308,175533.21994134897,4154229829.8105855,185957.39976958526,6404563870.846928,145867.5104895105,2658904700.3079867,145691.34722222222,2645052511.948525,160849.90802348335,3706008740.938583,145118.0,1563140559.6511629,189738.75064267352,6536647274.354727,136776.7340425532,2280046311.315603,138885.81102362205,1347927099.3115633,187406.3227383863,6430309696.60563,181612.74242424243,5115098521.7326355,175349.72222222222,5579297918.61772,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,218682.6844262295,7347810786.064484,190274.04081632654,6390852326.618526,191735.0725707257,6453463664.5747795,187188.88106235565,6440947385.762713,169007.4571984436,4107711084.5527453,187859.38647342994,6618492131.80209,137007.27937336813,1745522976.4165087,213498.48787878788,8022440391.423866,230003.1652173913,12988752225.033869,188023.44352941177,6510980811.359,140125.27710843374,1245946545.9495964,188891.71480582524,6598366322.952592,147220.8939759036,1838597506.5587804,133179.1893939394,1288913923.2263513,138058.6328125,1460546227.3609045,128503.87603305785,904606486.4244025,123074.88571428572,1789311052.9277315,115415.64,900583994.5733331,124077.57575757576,1502833388.0018938,126750.0,231125000.0,185881.6581986143,6366028023.4946,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,170287.29914529916,4271587644.3838773,186396.8144329897,7205376403.789221,177757.84253028265,5107372118.318838,179201.3704225352,4802790806.828741
11040,144.0,656,0,602,1258,0,1258,55,0,145000,190841.7104477612,5919823836.409917,197466.29558823528,6700182253.4014635,176528.84615384616,2552140230.015083,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,182400.4694485842,5700732293.771826,185992.28605200947,6356756315.132279,179490.9090909091,1293448508.5227273,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,190353.8509485095,6912694437.011682,184092.50343249427,5797352117.090013,159022.63942307694,1150384059.758245,156110.5,2441108158.6486483,126036.36363636363,704234545.4545456,204413.9534883721,5063682657.807308,175533.21994134897,4154229829.8105855,185957.39976958526,6404563870.846928,220277.8620689655,6204324332.148071,220600.2815249267,6210689812.291099,207663.49049429657,6599908689.372999,234021.37931034484,5389921061.588377,164773.82352941178,4707998659.3137245,148185.7507082153,2081364340.4547236,138885.81102362205,1347927099.3115633,187406.3227383863,6430309696.60563,168487.27504244482,3771677196.7269444,159561.21323529413,2013551026.1097488,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,218682.6844262295,7347810786.064484,190274.04081632654,6390852326.618526,191735.0725707257,6453463664.5747795,187188.88106235565,6440947385.762713,169007.4571984436,4107711084.5527453,161647.95918367346,2369535829.081634,219599.1268498943,5196662792.780486,170196.62661737524,4786603100.764031,185489.47928994082,4558742501.356782,188023.44352941177,6510980811.359,213062.50135501355,4326057330.234373,188891.71480582524,6598366322.952592,147220.8939759036,1838597506.5587804,206394.6709323583,6096433706.180898,204626.9598540146,4145745786.463583,182776.13147410357,2739573862.2740984,189382.6352657005,6434519770.868017,189306.68883610453,6436003673.717559,190190.40266021766,6478036614.853413,193153.64285714287,6542616080.60341,145000.0,0.0,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,191320.55,6691656438.183899,184651.63020833334,5057957833.22903,133093.10344827586,1573970665.024631,150503.52727272728,9257616844.290909
11367,210.0,932,0,133,1065,898,1989,199,60,255000,247811.8232044199,8274821790.090789,197466.29558823528,6700182253.4014635,211932.0625,6006832608.062499,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,185325.79054054053,7537076851.472836,185992.28605200947,6356756315.132279,199947.03883495147,2434282125.4494567,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,190353.8509485095,6912694437.011682,213341.54480286737,8140910176.889174,276597.30188679247,3604650259.1270432,211338.3820662768,7663092567.86937,221527.27272727274,773776181.8181818,204580.76923076922,3749917415.384615,175533.21994134897,4154229829.8105855,185957.39976958526,6404563870.846928,220277.8620689655,6204324332.148071,220600.2815249267,6210689812.291099,207663.49049429657,6599908689.372999,234021.37931034484,5389921061.588377,189738.75064267352,6536647274.354727,229498.03755868544,7315582050.087997,205732.03937007874,3255190013.011607,187406.3227383863,6430309696.60563,181612.74242424243,5115098521.7326355,245039.69731800767,8236517404.234954,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,218682.6844262295,7347810786.064484,190274.04081632654,6390852326.618526,191735.0725707257,6453463664.5747795,187188.88106235565,6440947385.762713,210460.82816901407,8602903334.238758,187859.38647342994,6618492131.80209,219599.1268498943,5196662792.780486,213498.48787878788,8022440391.423866,185489.47928994082,4558742501.356782,188023.44352941177,6510980811.359,213062.50135501355,4326057330.234373,188891.71480582524,6598366322.952592,218087.74441687344,6947707343.1608925,206394.6709323583,6096433706.180898,248091.91363636364,9599122000.97425,182776.13147410357,2739573862.2740984,189382.6352657005,6434519770.868017,189306.68883610453,6436003673.717559,190190.40266021766,6478036614.853413,193153.64285714287,6542616080.60341,185881.6581986143,6366028023.4946,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,201776.7111111111,9134597888.164646,186641.0621761658,6082371663.912778,177757.84253028265,5107372118.318838,179201.3704225352,4802790806.828741
12461,0.0,1456,0,168,1624,0,1624,0,114,262000,190841.7104477612,5919823836.409917,197466.29558823528,6700182253.4014635,288125.0,5998229166.666667,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,185325.79054054053,7537076851.472836,185992.28605200947,6356756315.132279,327109.5714285714,13202611779.95767,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,190353.8509485095,6912694437.011682,184092.50343249427,5797352117.090013,276597.30188679247,3604650259.1270432,211338.3820662768,7663092567.86937,235230.76923076922,6524483974.3589735,187313.04347826086,4802858458.498024,175533.21994134897,4154229829.8105855,185957.39976958526,6404563870.846928,262000.0,0.0,301742.85714285716,45374396190.47619,160849.90802348335,3706008740.938583,234021.37931034484,5389921061.588377,189738.75064267352,6536647274.354727,229498.03755868544,7315582050.087997,205732.03937007874,3255190013.011607,187406.3227383863,6430309696.60563,168487.27504244482,3771677196.7269444,245039.69731800767,8236517404.234954,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,218682.6844262295,7347810786.064484,190274.04081632654,6390852326.618526,191735.0725707257,6453463664.5747795,187188.88106235565,6440947385.762713,210460.82816901407,8602903334.238758,187859.38647342994,6618492131.80209,219599.1268498943,5196662792.780486,170196.62661737524,4786603100.764031,162825.1628959276,5279372650.246075,188023.44352941177,6510980811.359,213062.50135501355,4326057330.234373,188891.71480582524,6598366322.952592,218087.74441687344,6947707343.1608925,206394.6709323583,6096433706.180898,204626.9598540146,4145745786.463583,307493.64122137404,9886388633.077976,189382.6352657005,6434519770.868017,189306.68883610453,6436003673.717559,190190.40266021766,6478036614.853413,180375.0,5627229166.666667,185881.6581986143,6366028023.4946,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,191980.8662420382,8568959770.00123,186641.0621761658,6082371663.912778,177757.84253028265,5107372118.318838,179201.3704225352,4802790806.828741
14684,234.0,485,177,1496,2158,0,2196,84,70,271900,190841.7104477612,5919823836.409917,197466.29558823528,6700182253.4014635,211932.0625,6006832608.062499,186760.67505720822,6397491032.767142,220825.9632653061,7158389507.133884,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,258872.5294117647,11084063834.499107,185992.28605200947,6356756315.132279,194806.02777777778,2653505413.1706347,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,190353.8509485095,6912694437.011682,184092.50343249427,5797352117.090013,204385.34403669724,2068642686.0976825,156110.5,2441108158.6486483,212440.0,1655107199.9999998,194700.0,2170507500.0,228070.6978021978,13018755540.620874,185957.39976958526,6404563870.846928,160445.2100840336,3638430730.2521024,163115.55555555556,4191070479.127726,207663.49049429657,6599908689.372999,234021.37931034484,5389921061.588377,189738.75064267352,6536647274.354727,148185.7507082153,2081364340.4547236,205732.03937007874,3255190013.011607,187406.3227383863,6430309696.60563,181612.74242424243,5115098521.7326355,159561.21323529413,2013551026.1097488,139846.95454545456,1599774089.7597404,186683.8041714948,6417511615.642576,160373.45255474452,2899211349.484866,190274.04081632654,6390852326.618526,191735.0725707257,6453463664.5747795,187188.88106235565,6440947385.762713,169007.4571984436,4107711084.5527453,187859.38647342994,6618492131.80209,219599.1268498943,5196662792.780486,170196.62661737524,4786603100.764031,185489.47928994082,4558742501.356782,188023.44352941177,6510980811.359,213062.50135501355,4326057330.234373,188891.71480582524,6598366322.952592,218087.74441687344,6947707343.1608925,206394.6709323583,6096433706.180898,204626.9598540146,4145745786.463583,307493.64122137404,9886388633.077976,189382.6352657005,6434519770.868017,189306.68883610453,6436003673.717559,190190.40266021766,6478036614.853413,193153.64285714287,6542616080.60341,185881.6581986143,6366028023.4946,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,181295.2123287671,4786846986.5683975,189894.0918367347,7779019184.247931,177757.84253028265,5107372118.318838,179201.3704225352,4802790806.828741
8160,0.0,312,0,444,756,378,1134,0,0,126000,143932.07228915664,2462261960.92154,197466.29558823528,6700182253.4014635,130785.01,1621616114.5554545,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,182400.4694485842,5700732293.771826,185992.28605200947,6356756315.132279,136814.54545454544,1912935617.845117,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,190353.8509485095,6912694437.011682,143078.8735632184,2429212750.483826,132432.0,700938429.7740585,149152.90131578947,1827251964.1954944,137227.27272727274,1106218181.8181815,123609.74038461539,1154367611.4368,175533.21994134897,4154229829.8105855,185957.39976958526,6404563870.846928,145867.5104895105,2658904700.3079867,145691.34722222222,2645052511.948525,160849.90802348335,3706008740.938583,145118.0,1563140559.6511629,189738.75064267352,6536647274.354727,136776.7340425532,2280046311.315603,138885.81102362205,1347927099.3115633,187406.3227383863,6430309696.60563,168487.27504244482,3771677196.7269444,159561.21323529413,2013551026.1097488,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,127378.26086956522,1421981778.6561267,114761.04444444444,1328143297.179798,120264.38461538461,621374381.5897437,187188.88106235565,6440947385.762713,210460.82816901407,8602903334.238758,187859.38647342994,6618492131.80209,137007.27937336813,1745522976.4165087,213498.48787878788,8022440391.423866,185489.47928994082,4558742501.356782,188023.44352941177,6510980811.359,140125.27710843374,1245946545.9495964,188891.71480582524,6598366322.952592,147220.8939759036,1838597506.5587804,133179.1893939394,1288913923.2263513,138058.6328125,1460546227.3609045,128503.87603305785,904606486.4244025,189382.6352657005,6434519770.868017,189306.68883610453,6436003673.717559,126694.44444444444,935568496.7320261,193153.64285714287,6542616080.60341,185881.6581986143,6366028023.4946,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,187173.35294117648,7463068110.207286,186396.8144329897,7205376403.789221,177757.84253028265,5107372118.318838,126000.0,0.0
3180,0.0,0,0,600,600,600,1200,0,166,151000,140235.10416666666,1068277898.7761524,214840.51111111112,3145990371.8919187,160480.83333333334,4053873437.7666674,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,182400.4694485842,5700732293.771826,185992.28605200947,6356756315.132279,227063.01666666666,3657313468.4912434,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,189828.56164383562,4003643708.7496204,213341.54480286737,8140910176.889174,204385.34403669724,2068642686.0976825,211338.3820662768,7663092567.86937,221178.4,5249276111.469388,215870.58620689655,4653668379.264369,175533.21994134897,4154229829.8105855,185957.39976958526,6404563870.846928,145867.5104895105,2658904700.3079867,145691.34722222222,2645052511.948525,160849.90802348335,3706008740.938583,145118.0,1563140559.6511629,189738.75064267352,6536647274.354727,229498.03755868544,7315582050.087997,205732.03937007874,3255190013.011607,187406.3227383863,6430309696.60563,168487.27504244482,3771677196.7269444,175349.72222222222,5579297918.61772,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,218682.6844262295,7347810786.064484,190274.04081632654,6390852326.618526,191735.0725707257,6453463664.5747795,147517.33333333334,11734101.333333334,169007.4571984436,4107711084.5527453,187859.38647342994,6618492131.80209,219599.1268498943,5196662792.780486,213498.48787878788,8022440391.423866,162825.1628959276,5279372650.246075,188023.44352941177,6510980811.359,213062.50135501355,4326057330.234373,188891.71480582524,6598366322.952592,147220.8939759036,1838597506.5587804,133179.1893939394,1288913923.2263513,204626.9598540146,4145745786.463583,182776.13147410357,2739573862.2740984,189382.6352657005,6434519770.868017,189306.68883610453,6436003673.717559,190190.40266021766,6478036614.853413,193153.64285714287,6542616080.60341,185881.6581986143,6366028023.4946,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,181295.2123287671,4786846986.5683975,186641.0621761658,6082371663.912778,177757.84253028265,5107372118.318838,179201.3704225352,4802790806.828741
6171,0.0,264,0,712,976,448,1608,147,16,137450,143932.07228915664,2462261960.92154,197466.29558823528,6700182253.4014635,129535.0,553872250.0,186760.67505720822,6397491032.767142,170445.36617405582,5122821531.031809,185462.73408239702,6198187269.445452,186403.784738041,6407155701.569344,182400.4694485842,5700732293.771826,185992.28605200947,6356756315.132279,141722.72727272726,353360681.8181818,190110.89664082686,6647773152.900041,186636.99307958476,6370839023.872929,190353.8509485095,6912694437.011682,143078.8735632184,2429212750.483826,159022.63942307694,1150384059.758245,149152.90131578947,1827251964.1954944,126605.0,1707522472.2222223,192458.88888888888,4699718211.111111,175533.21994134897,4154229829.8105855,185957.39976958526,6404563870.846928,170912.5,7252034833.333334,163625.0,5438413273.809524,160849.90802348335,3706008740.938583,145118.0,1563140559.6511629,189738.75064267352,6536647274.354727,136776.7340425532,2280046311.315603,138885.81102362205,1347927099.3115633,187406.3227383863,6430309696.60563,168487.27504244482,3771677196.7269444,145553.48837209304,1364782222.9822166,188709.79487179487,6579133751.901398,186683.8041714948,6417511615.642576,218682.6844262295,7347810786.064484,190274.04081632654,6390852326.618526,191735.0725707257,6453463664.5747795,187188.88106235565,6440947385.762713,169007.4571984436,4107711084.5527453,187859.38647342994,6618492131.80209,219599.1268498943,5196662792.780486,213498.48787878788,8022440391.423866,185489.47928994082,4558742501.356782,188023.44352941177,6510980811.359,213062.50135501355,4326057330.234373,188891.71480582524,6598366322.952592,218087.74441687344,6947707343.1608925,133179.1893939394,1288913923.2263513,138058.6328125,1460546227.3609045,128503.87603305785,904606486.4244025,123074.88571428572,1789311052.9277315,189306.68883610453,6436003673.717559,190190.40266021766,6478036614.853413,193153.64285714287,6542616080.60341,185881.6581986143,6366028023.4946,184431.47955390334,6193348859.835497,185818.676201373,6077643717.756429,187715.14051522248,6452778362.763351,191320.55,6691656438.183899,189894.0918367347,7779019184.247931,177757.84253028265,5107372118.318838,179201.3704225352,4802790806.828741
